id,book_id,books_count,authors,original_title,title,language_code,original_publication_year
43,10210,2568,"Charlotte Brontë, Michael Mason",Jane Eyre,Jane Eyre,eng,1847
44,15931,190,Nicholas Sparks,The Notebook,"The Notebook (The Notebook, #1)",eng,1996
46,43641,128,Sara Gruen,Water for Elephants,Water for Elephants,eng,2006
47,19063,251,Markus Zusak,The Book Thief,The Book Thief,eng,2005
48,4381,507,Ray Bradbury,Fahrenheit 451,Fahrenheit 451,spa,1953
49,49041,194,Stephenie Meyer,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",eng,2006
50,30119,45,Shel Silverstein,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Where the Sidewalk Ends,eng,1974
51,256683,178,Cassandra Clare,City of Bones,"City of Bones (The Mortal Instruments, #1)",eng,2007
52,428263,185,Stephenie Meyer,Eclipse,"Eclipse (Twilight, #3)",en-US,2007
53,113436,217,Christopher Paolini,Eragon,"Eragon (The Inheritance Cycle, #1)",en-US,2002
54,11,257,Douglas Adams,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US,1979
55,5129,515,Aldous Huxley,Brave New World,Brave New World,eng,1932
56,1162543,183,Stephenie Meyer,Breaking Dawn,"Breaking Dawn (Twilight, #4)",en-US,2008
57,37435,125,Sue Monk Kidd,The Secret Life of Bees,The Secret Life of Bees,en-US,2001
58,2956,2277,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,eng,1884
59,24178,180,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,Charlotte's Web,eng,1952
60,1618,183,Mark Haddon,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,eng,2003
61,22557272,14,Paula Hawkins,The Girl on the Train,The Girl on the Train,eng,2015
62,119322,287,Philip Pullman,Northern Lights,"The Golden Compass (His Dark Materials, #1)",eng,1995
63,6185,2498,"Emily Brontë, Richard J. Dunn",Wuthering Heights,Wuthering Heights,eng,1847
64,10917,125,Jodi Picoult,My Sister's Keeper,My Sister's Keeper,eng,2004
65,4981,241,Kurt Vonnegut Jr.,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death",Slaughterhouse-Five,eng,1969
66,18405,409,Margaret Mitchell,Gone with the Wind,Gone with the Wind,eng,1936
67,128029,197,Khaled Hosseini,A Thousand Splendid Suns,A Thousand Splendid Suns,eng,2007
68,22628,128,Stephen Chbosky,The Perks of Being a Wallflower,The Perks of Being a Wallflower,eng,1999
69,11735983,164,Veronica Roth,Insurgent,"Insurgent (Divergent, #2)",eng,2012
70,375802,224,Orson Scott Card,Ender's Game,"Ender's Game (Ender's Saga, #1)",eng,1985
71,18490,2618,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle","Frankenstein; or, The Modern Prometheus",Frankenstein,eng,1818
72,11588,289,Stephen King,The Shining,The Shining (The Shining #1),eng,1977
73,1656001,161,Stephenie Meyer,The Host,"The Host (The Host, #1)",en-US,2008
74,99561,187,John Green,Looking for Alaska,Looking for Alaska,eng,2005
75,227443,193,Helen Fielding,,"Bridget Jones's Diary (Bridget Jones, #1)",eng,1996
76,14935,1969,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,Sense and Sensibility,eng,1811
77,38709,138,"Louis Sachar, Louis Sachar",Holes,"Holes (Holes, #1)",eng,1998
78,5139,129,Lauren Weisberger,The Devil Wears Prada,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng,2003
79,1381,1703,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",Ὀδύσσεια,The Odyssey,eng,-720
80,157993,1708,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",Le Petit Prince,The Little Prince,eng,1946
81,7445,92,Jeannette Walls,The Glass Castle,The Glass Castle,eng,2005
82,1845,108,Jon Krakauer,Into the Wild,Into the Wild,eng,1996
83,1953,525,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,A Tale of Two Cities,eng,1859
84,7677,176,Michael Crichton,Jurassic Park,"Jurassic Park (Jurassic Park, #1)",spa,1990
85,370493,81,Shel Silverstein,The Giving Tree,The Giving Tree,eng,1964
86,32542,158,John Grisham,A Time to Kill,A Time to Kill,eng,1989
87,1617,109,"Elie Wiesel, Marion Wiesel",Un di Velt Hot Geshvign,Night (The Night Trilogy #1),eng,1958
88,6442769,178,John Green,Paper Towns,Paper Towns,en-US,2008
89,21787,129,William Goldman,The Princess Bride,The Princess Bride,en-US,1973
90,231804,156,S.E. Hinton,The Outsiders,The Outsiders,en-US,1967
91,6186357,147,James Dashner,The Maze Runner,"The Maze Runner (Maze Runner, #1)",eng,2009
92,1202,124,"Steven D. Levitt, Stephen J. Dubner",Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",en-US,2005
93,2998,1350,Frances Hodgson Burnett,The Secret Garden,The Secret Garden,eng,1911
94,320,555,"Gabriel García Márquez, Gregory Rabassa",Cien años de soledad,One Hundred Years of Solitude,eng,1967
95,5297,2303,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,The Picture of Dorian Gray,eng,1891
96,13536860,133,E.L. James,Fifty Shades Freed,"Fifty Shades Freed (Fifty Shades, #3)",eng,2012
97,17245,2207,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,Dracula,eng,1897
98,5060378,209,"Stieg Larsson, Reg Keeland",Flickan som lekte med elden,"The Girl Who Played with Fire (Millennium, #2)",eng,2006
99,11857408,147,E.L. James,Fifty Shades Darker,"Fifty Shades Darker (Fifty Shades, #2)",eng,2011
100,7244,39,Barbara Kingsolver,The Poisonwood Bible,The Poisonwood Bible,eng,1998
101,4137,59,David Sedaris,Me Talk Pretty One Day,Me Talk Pretty One Day,eng,2000
102,19543,110,Maurice Sendak,Where the Wild Things Are,Where the Wild Things Are,eng,1963
103,7126,1310,"Alexandre Dumas, Robin Buss",Le Comte de Monte-Cristo,The Count of Monte Cristo,eng,1844
104,6288,181,Cormac McCarthy,The Road,The Road,eng,2006
105,18710190,153,Veronica Roth,Allegiant,"Allegiant (Divergent, #3)",eng,2013
106,9418327,48,Tina Fey,Bossypants,Bossypants,eng,2011
107,3473,131,Nicholas Sparks,A Walk to Remember,A Walk to Remember,en-US,1999
108,9416,144,Sophie Kinsella,Confessions of a Shopaholic,"Confessions of a Shopaholic (Shopaholic, #1)",eng,2000
109,24280,1319,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables,Les Misérables,eng,1862
110,10572,202,George R.R. Martin,A Clash of Kings,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng,1998
111,10441,98,Kim Edwards,The Memory Keeper's Daughter,The Memory Keeper's Daughter,eng,2005
112,15507958,168,Jojo Moyes,Me Before You,"Me Before You (Me Before You, #1)",eng,2012
113,168668,251,Joseph Heller,Catch-22,Catch-22,en-US,1961
114,6900,172,"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,Tuesdays with Morrie,eng,1997
115,2187,125,Jeffrey Eugenides,Middlesex,Middlesex,en-US,2002
116,24583,2448,"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,eng,1876
117,18131,165,Madeleine L'Engle,A Wrinkle in Time,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US,1962
118,7763,126,Amy Tan,The Joy Luck Club,The Joy Luck Club,eng,1989
119,38447,236,Margaret Atwood,The Handmaid's Tale,The Handmaid's Tale,eng,1985
120,452306,93,Ann Brashares,The Sisterhood of the Traveling Pants,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng,2001
121,7604,370,"Vladimir Nabokov, Craig Raine",Lolita,Lolita,eng,1955
122,37442,80,"Gregory Maguire, Douglas Smith",Wicked: The Life and Times of the Wicked Witch of the West,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng,1995
123,5358,11,John Grisham,The Firm,"The Firm (Penguin Readers, Level 5)",eng,1991
124,7937843,151,Emma Donoghue,Room,Room,eng,2010
125,1420,1929,"William Shakespeare, Richard Andrews, Rex Gibson","The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet,eng,1600
126,234225,241,Frank Herbert,Dune,Dune (Dune Chronicles #1),eng,1965
127,2612,100,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,eng,2000
128,11084145,190,Walter Isaacson,Steve Jobs,Steve Jobs,eng,2011
129,332613,275,Ken Kesey,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,eng,1962
130,2165,666,Ernest Hemingway,The Old Man and the Sea,The Old Man and the Sea,eng,1952
131,4395,381,John Steinbeck,The Grapes of Wrath,The Grapes of Wrath,eng,1939
133,8127,1314,L.M. Montgomery,Anne of Green Gables,"Anne of Green Gables (Anne of Green Gables, #1)",eng,1908
134,3777732,122,Cassandra Clare,City of Glass,"City of Glass (The Mortal Instruments, #3)",en-US,2009
135,62291,175,George R.R. Martin,A Storm of Swords,"A Storm of Swords (A Song of Ice and Fire, #3)",eng,2000
136,137791,75,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,en-US,1996
137,10964,189,Diana Gabaldon,Outlander,"Outlander (Outlander, #1)",eng,1991
138,12296,1579,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",The Scarlet Letter,The Scarlet Letter,eng,1850
139,9460487,155,Ransom Riggs,Miss Peregrine’s Home for Peculiar Children,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",en-US,2011
140,6892870,193,"Stieg Larsson, Reg Keeland",Luftslottet som sprängdes,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",en-US,2007
141,18007564,148,Andy Weir,The Martian,The Martian,eng,2012
142,5043,255,Ken Follett,The Pillars of the Earth,"The Pillars of the Earth (The Kingsbridge Series, #1)",eng,1989
143,18143977,139,Anthony Doerr,,All the Light We Cannot See,eng,2014
144,8664353,16,Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,2010
145,976,180,Dan Brown,Deception Point,Deception Point,eng,2001
146,17333223,108,Donna Tartt,The Goldfinch,The Goldfinch,eng,2013
147,1217100,150,Jay Asher,Thirteen Reasons Why,Thirteen Reasons Why,eng,2007
148,2865,169,Tracy Chevalier,Girl with a Pearl Earring,Girl with a Pearl Earring,eng,1999
149,4374400,130,Gayle Forman,If I Stay,"If I Stay (If I Stay, #1)",en-US,2009
150,4989,80,Anita Diamant,The Red Tent,The Red Tent,en-US,1997
151,28186,121,Rick Riordan,The Sea of Monsters,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng,2006
152,5526,111,Nicholas Sparks,Dear John,Dear John,en-US,2006
153,1582996,125,Cassandra Clare,City of Ashes,"City of Ashes (The Mortal Instruments, #2)",eng,2008
154,8852,1732,William Shakespeare,The Tragedy of Macbeth,Macbeth,eng,1606
155,15241,453,J.R.R. Tolkien,The Two Towers,"The Two Towers (The Lord of the Rings, #2)",en-US,1954
156,42156,65,Emily Giffin,Something Borrowed,"Something Borrowed (Darcy & Rachel, #1)",eng,2004
157,23772,72,"Dr. Seuss, לאה נאור",Green Eggs and Ham,Green Eggs and Ham,en-US,1960
158,6310,338,"Roald Dahl, Quentin Blake",Charlie and the Chocolate Factory,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng,1964
159,2120932,92,Rick Riordan,The Battle of the Labyrinth,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng,2008
160,2623,1725,Charles Dickens,Great Expectations,Great Expectations,eng,1860
161,18512,470,J.R.R. Tolkien,The Return of the King,"The Return of the King (The Lord of the Rings, #3)",en-US,1955
162,49552,675,"Albert Camus, Matthew    Ward",L’Étranger,The Stranger,eng,1942
163,7736182,72,Rick Riordan,The Lost Hero,"The Lost Hero (The Heroes of Olympus, #1)",eng,2010
164,15745753,103,Rainbow Rowell,Eleanor & Park,Eleanor & Park,eng,2013
165,13497,176,George R.R. Martin,A Feast for Crows,"A Feast for Crows (A Song of Ice and Fire, #4)",en-US,2005
166,7735333,84,Ally Condie,Matched,"Matched (Matched, #1)",eng,2010
167,4407,196,Neil Gaiman,American Gods,"American Gods (American Gods, #1)",eng,2001
168,149267,195,"Stephen King, Bernie Wrightson",The Stand,The Stand,en-US,1978
169,6400090,95,Nicholas Sparks,The Last Song,The Last Song,en-GB,2008
170,11125,185,Dan Brown,Digital Fortress,Digital Fortress,en-GB,1998
171,6969,1710,"Jane Austen, Fiona Stafford",Emma,Emma,eng,1815
172,15823480,1492,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",Анна Каренина,Anna Karenina,eng,1877
173,227463,283,Anthony Burgess,A Clockwork Orange,A Clockwork Orange,eng,1962
174,1812457,134,William Paul Young,The Shack: Where Tragedy Confronts Eternity,The Shack,eng,2007
175,4502507,87,Rick Riordan,The Last Olympian,"The Last Olympian (Percy Jackson and the Olympians, #5)",eng,2009
176,18342,7,Stephen King,It,It,en-US,1986
177,7144,1714,"Fyodor Dostoyevsky, David McDuff",Преступление и наказание,Crime and Punishment,eng,1866
178,6514,246,Sylvia Plath,The Bell Jar,The Bell Jar,en-US,1963
179,252577,184,Frank McCourt,Angela's Ashes: A Memoir,"Angela's Ashes (Frank McCourt, #1)",eng,1996
180,52036,972,"Hermann Hesse, Hilda Rosner",Siddhartha,Siddhartha,eng,1922
181,168642,223,Truman Capote,In Cold Blood,In Cold Blood,eng,1965
182,6304335,119,"Kami Garcia, Margaret Stohl",Beautiful Creatures,"Beautiful Creatures (Caster Chronicles, #1)",eng,2009
183,7171637,103,Cassandra Clare,Clockwork Angel,"Clockwork Angel (The Infernal Devices, #1)",eng,2010
184,39988,242,"Roald Dahl, Quentin Blake",Matilda,Matilda,eng,1988
185,9361589,119,Erin Morgenstern,The Night Circus,The Night Circus,eng,2011
186,37470,111,Philippa Gregory,The Other Boleyn Girl,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",eng,2001
187,24770,98,Scott Westerfeld,Uglies,"Uglies (Uglies, #1)",eng,2005
188,10664113,115,George R.R. Martin,A Dance with Dragons,"A Dance with Dragons (A Song of Ice and Fire, #5)",eng,2011
189,33,380,J.R.R. Tolkien,The Lord of the Rings,"The Lord of the Rings (The Lord of the Rings, #1-3)",eng,1955
190,12262741,101,Cheryl Strayed,Wild: From Lost to Found on the Pacific Crest Trail,Wild: From Lost to Found on the Pacific Crest Trail,eng,2012
191,472331,90,"Alan Moore, Dave Gibbons, John Higgins",Watchmen,Watchmen,en-US,1987
192,186074,123,Patrick Rothfuss,The Name of the Wind,"The Name of the Wind (The Kingkiller Chronicle, #1)",eng,2007
193,3228917,120,Malcolm Gladwell,Outliers: The Story of Success,Outliers: The Story of Success,en-US,2008
194,153747,1823,"Herman Melville, Andrew Delbanco, Tom Quirk","Moby Dick; or, The Whale","Moby-Dick or, The Whale",eng,1851
195,2728527,116,"Mary Ann Shaffer, Annie Barrows",The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and Potato Peel Pie Society,eng,2008
196,5759,162,Chuck Palahniuk,Fight Club,Fight Club,eng,1996
197,301082,109,Charlaine Harris,Dead Until Dark,"Dead Until Dark (Sookie Stackhouse, #1)",en-US,2001
198,11486,155,Alice Walker,The Color Purple,The Color Purple,eng,1982
199,12691,119,John Grogan,Marley & Me: Life and Love with the World's Worst Dog,Marley and Me: Life and Love With the World's Worst Dog,eng,2005
200,16299,474,Agatha Christie,Ten Little Niggers,And Then There Were None,eng,1939
201,6411961,208,Dan Brown,The Lost Symbol,"The Lost Symbol (Robert Langdon, #3)",eng,2009
202,6339664,91,Becca Fitzpatrick,"Hush, Hush","Hush, Hush (Hush, Hush, #1)",en-US,2009
203,11505797,85,Jamie McGuire,Beautiful Disaster,"Beautiful Disaster (Beautiful, #1)",eng,2011
205,43763,189,Anne Rice,Interview with the Vampire,"Interview with the Vampire (The Vampire Chronicles, #1)",eng,1976
206,10507293,93,Kiera Cass,The Selection,"The Selection (The Selection, #1)",en-US,2012
207,6853,109,Janet Evanovich,One for the Money,"One for the Money (Stephanie Plum, #1)",en-US,1994
208,6493208,66,Rebecca Skloot,The Immortal Life of Henrietta Lacks,The Immortal Life of Henrietta Lacks,eng,2010
209,23807,187,Thomas Harris,The Silence of the Lambs,"The Silence of the Lambs  (Hannibal Lecter, #2)",eng,1988
210,345627,132,Richelle Mead,,"Vampire Academy (Vampire Academy, #1)",en-US,2007
211,40102,116,Malcolm Gladwell,Blink: The Power of Thinking Without Thinking,Blink: The Power of Thinking Without Thinking,en-US,2005
212,6867,155,Ian McEwan,Atonement,Atonement,eng,2001
213,485894,1316,"Franz Kafka, Stanley Corngold",Die Verwandlung,The Metamorphosis,eng,1915
214,561456,94,Rick Riordan,The Titan's Curse,"The Titan's Curse (Percy Jackson and the Olympians, #3)",eng,2007
215,9969571,112,Ernest Cline,,Ready Player One,eng,2011
216,3153910,90,Garth Stein,The Art of Racing in the Rain,The Art of Racing in the Rain,eng,2006
217,21996,70,"Erik Larson, Tony Goldwyn","The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",eng,2003
218,13572249,96,Sylvia Day,Bared to You,"Bared to You (Crossfire, #1)",eng,2012
219,11127,270,"C.S. Lewis, Pauline Baynes",The Chronicles of Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",eng,1956
221,60748,74,Dave Pelzer,"\"A Child Called \"\"It\"\": One Child's Courage to Survive\"","\"A Child Called \"\"It\"\" (Dave Pelzer #1)\"",eng,1995
222,7869,143,Robert Ludlum,The Bourne Identity,"The Bourne Identity (Jason Bourne, #1)",eng,1980
223,249747,163,Eoin Colfer,Artemis Fowl,"Artemis Fowl (Artemis Fowl, #1)",eng,2001
224,6487308,97,Lauren Kate,Fallen,"Fallen (Fallen, #1)",en-US,2009
225,4406,81,John Steinbeck,East of Eden,East of Eden,eng,1952
226,5886881,131,Gillian Flynn,Dark Places,Dark Places,eng,2009
227,5359,134,John Grisham,The Client,The Client,eng,1993
228,228333,84,"Emma McLaughlin, Nicola Kraus",The Nanny Diaries,"The Nanny Diaries (Nanny, #1)",eng,2002
229,24213,845,"Lewis Carroll, John Tenniel, Martin Gardner",Alice's Adventures in Wonderland,Alice's Adventures in Wonderland & Through the Looking-Glass,eng,1865
230,2156,1451,"Jane Austen, James Kinsley, Deidre Shauna Lynch",Persuasion,Persuasion,eng,1817
231,556602,117,Tatiana de Rosnay,Elle s'appelait Sarah,Sarah's Key,eng,2007
232,43615,213,Stephen King,The Gunslinger,"The Gunslinger (The Dark Tower, #1)",en-US,1982
233,9712,347,"Gabriel García Márquez, Edith Grossman",El amor en los tiempos del cólera,Love in the Time of Cholera,eng,1985
234,439288,87,Laurie Halse Anderson,Speak,Speak,eng,1999
235,17802724,95,Liane Moriarty,The Husband's Secret,The Husband's Secret,eng,2013
236,1898,101,Jon Krakauer,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Into Thin Air: A Personal Account of the Mount Everest Disaster,en-US,1997
238,242006,79,Augusten Burroughs,Running with Scissors,Running with Scissors,en-US,2002
239,8908,137,Max Brooks,World War Z: An Oral History of the Zombie War,World War Z: An Oral History of the Zombie War,en-US,2006
240,17212231,235,Dan Brown,Inferno,"Inferno (Robert Langdon, #4)",eng,2013
241,47281,81,Lois Lowry,Number the Stars,Number the Stars,eng,1989
242,13145,122,James Patterson,Along Came a Spider,"Along Came a Spider (Alex Cross, #1)",eng,1993
243,10614,197,Stephen King,Misery,Misery,en-GB,1987
244,66559,136,Gillian Flynn,Sharp Objects,Sharp Objects,en-US,2006
245,2839,125,Katherine Paterson,Bridge to Terabithia,Bridge to Terabithia,eng,1977
246,30183,97,"P.C. Cast, Kristin Cast",Marked,"Marked (House of Night, #1)",en-US,2007
247,36072,250,Stephen R. Covey,The 7 Habits of Highly Effective People,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,en-US,1989
248,1622,1379,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",A Midsummer Night's Dream,A Midsummer Night's Dream,eng,1595
249,4588,104,Jonathan Safran Foer,Extremely Loud and Incredibly Close,Extremely Loud and Incredibly Close,en-US,2005
250,11387515,124,R.J. Palacio,Wonder,Wonder,eng,2012
251,233093,99,Dr. Seuss,The Cat in the Hat,The Cat in the Hat,eng,1957
252,11235712,92,Marissa Meyer,Cinder,"Cinder (The Lunar Chronicles, #1)",eng,2012
253,16160797,48,"Robert Galbraith, J.K. Rowling",The Cuckoo's Calling,"The Cuckoo's Calling (Cormoran Strike, #1)",en-US,2013
254,6068551,96,Maggie Stiefvater,Shiver,"Shiver (The Wolves of Mercy Falls, #1)",eng,2009
255,662,147,"Ayn Rand, Leonard Peikoff",Atlas Shrugged,Atlas Shrugged,eng,1957
256,49436,67,"Greg Mortenson, David Oliver Relin",Three Cups of Tea,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,en-US,2006
257,13023,4,"Jane Carruth, Lewis Carroll, Rene Cloke",,Alice in Wonderland,eng,1865
258,1232,279,"Carlos Ruiz Zafón, Lucia Graves",La sombra del viento,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",eng,2001
259,7631105,107,James Dashner,The Scorch Trials,"The Scorch Trials (Maze Runner, #2)",eng,2010
260,4865,353,Dale Carnegie,How to Win Friends and Influence People,How to Win Friends and Influence People,eng,1936
261,480479,59,Frances Mayes,Under the Tuscan Sun,Under the Tuscan Sun,eng,1996
262,19486412,107,Liane Moriarty,Big Little Lies,Big Little Lies,eng,2014
263,24337,61,Gail Carson Levine,Ella Enchanted,Ella Enchanted,eng,1997
264,3876,343,Ernest Hemingway,The Sun Also Rises,The Sun Also Rises,en-US,1926
265,14891,127,Betty  Smith,A Tree Grows In Brooklyn,A Tree Grows in Brooklyn,eng,1943
266,13148,111,James Patterson,Kiss the Girls,"Kiss the Girls (Alex Cross, #2)",eng,1995
267,21853621,90,Kristin Hannah,The Nightingale,The Nightingale,eng,2015
268,6334,159,Kazuo Ishiguro,Never Let Me Go,Never Let Me Go,eng,2005
269,366522,17,Cecelia Ahern,"PS, I Love You",P.S. I Love You,en-US,2003
270,12873,306,"Daphne du Maurier, Sally Beauman",Rebecca,Rebecca,en-US,1938
271,18373,163,Daniel Keyes,Flowers for Algernon,Flowers for Algernon,en-US,1966
272,6952,177,"Laura Esquivel, Thomas  Christensen, Carol Christensen",Como agua para chocolate,Like Water for Chocolate,en-US,1989
273,1103,105,Lisa See,Snow Flower and the Secret Fan,Snow Flower and the Secret Fan,eng,2005
274,22034,259,"Mario Puzo, Robert Thompson, Peter Bart",The Godfather,The Godfather,eng,1969
