id,book_id,books_count,authors,original_publication_year,original_title,title,language_code
21,2,307,"J.K. Rowling, Mary GrandPré",2003.0,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng
22,12232938,183,Alice Sebold,2002.0,The Lovely Bones,The Lovely Bones,eng
23,15881,398,"J.K. Rowling, Mary GrandPré",1998.0,Harry Potter and the Chamber of Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng
24,6,332,"J.K. Rowling, Mary GrandPré",2000.0,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng
25,136251,263,"J.K. Rowling, Mary GrandPré",2007.0,Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng
26,968,350,Dan Brown,2003.0,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",eng
27,1,275,"J.K. Rowling, Mary GrandPré",2005.0,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng
28,7624,458,William Golding,1954.0,Lord of the Flies,Lord of the Flies,eng
29,18135,1937,"William Shakespeare, Robert           Jackson",1595.0,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,eng
30,8442457,196,Gillian Flynn,2012.0,Gone Girl,Gone Girl,eng
31,4667024,183,Kathryn Stockett,2009.0,The Help,The Help,eng
32,890,373,John Steinbeck,1937.0,Of Mice and Men,Of Mice and Men,eng
33,930,220,Arthur Golden,1997.0,Memoirs of a Geisha,Memoirs of a Geisha,eng
34,10818853,169,E.L. James,2011.0,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",eng
35,865,458,"Paulo Coelho, Alan R. Clarke",1988.0,O Alquimista,The Alchemist,eng
36,3636,192,Lois Lowry,1993.0,The Giver,"The Giver (The Giver, #1)",eng
37,100915,474,C.S. Lewis,1950.0,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng
38,14050,167,Audrey Niffenegger,2003.0,The Time Traveler's Wife,The Time Traveler's Wife,eng
39,13496,101,George R.R. Martin,1996.0,A Game of Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",eng
40,19501,185,Elizabeth Gilbert,2006.0,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love",eng
41,28187,159,Rick Riordan,2005.0,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng
42,1934,1707,Louisa May Alcott,1868.0,Little Women,"Little Women (Little Women, #1)",en-US
43,10210,2568,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,Jane Eyre,eng
44,15931,190,Nicholas Sparks,1996.0,The Notebook,"The Notebook (The Notebook, #1)",eng
46,43641,128,Sara Gruen,2006.0,Water for Elephants,Water for Elephants,eng
47,19063,251,Markus Zusak,2005.0,The Book Thief,The Book Thief,eng
48,4381,507,Ray Bradbury,1953.0,Fahrenheit 451,Fahrenheit 451,spa
49,49041,194,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",eng
50,30119,45,Shel Silverstein,1974.0,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Where the Sidewalk Ends,eng
51,256683,178,Cassandra Clare,2007.0,City of Bones,"City of Bones (The Mortal Instruments, #1)",eng
52,428263,185,Stephenie Meyer,2007.0,Eclipse,"Eclipse (Twilight, #3)",en-US
53,113436,217,Christopher Paolini,2002.0,Eragon,"Eragon (The Inheritance Cycle, #1)",en-US
54,11,257,Douglas Adams,1979.0,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US
55,5129,515,Aldous Huxley,1932.0,Brave New World,Brave New World,eng
56,1162543,183,Stephenie Meyer,2008.0,Breaking Dawn,"Breaking Dawn (Twilight, #4)",en-US
57,37435,125,Sue Monk Kidd,2001.0,The Secret Life of Bees,The Secret Life of Bees,en-US
58,2956,2277,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,eng
59,24178,180,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web,Charlotte's Web,eng
60,1618,183,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,eng
61,22557272,14,Paula Hawkins,2015.0,The Girl on the Train,The Girl on the Train,eng
62,119322,287,Philip Pullman,1995.0,Northern Lights,"The Golden Compass (His Dark Materials, #1)",eng
63,6185,2498,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights,Wuthering Heights,eng
64,10917,125,Jodi Picoult,2004.0,My Sister's Keeper,My Sister's Keeper,eng
65,4981,241,Kurt Vonnegut Jr.,1969.0,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death",Slaughterhouse-Five,eng
66,18405,409,Margaret Mitchell,1936.0,Gone with the Wind,Gone with the Wind,eng
67,128029,197,Khaled Hosseini,2007.0,A Thousand Splendid Suns,A Thousand Splendid Suns,eng
68,22628,128,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,The Perks of Being a Wallflower,eng
69,11735983,164,Veronica Roth,2012.0,Insurgent,"Insurgent (Divergent, #2)",eng
70,375802,224,Orson Scott Card,1985.0,Ender's Game,"Ender's Game (Ender's Saga, #1)",eng
71,18490,2618,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,"Frankenstein; or, The Modern Prometheus",Frankenstein,eng
72,11588,289,Stephen King,1977.0,The Shining,The Shining (The Shining #1),eng
73,1656001,161,Stephenie Meyer,2008.0,The Host,"The Host (The Host, #1)",en-US
74,99561,187,John Green,2005.0,Looking for Alaska,Looking for Alaska,eng
75,227443,193,Helen Fielding,1996.0,,"Bridget Jones's Diary (Bridget Jones, #1)",eng
76,14935,1969,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,Sense and Sensibility,eng
77,38709,138,"Louis Sachar, Louis Sachar",1998.0,Holes,"Holes (Holes, #1)",eng
78,5139,129,Lauren Weisberger,2003.0,The Devil Wears Prada,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng
79,1381,1703,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,Ὀδύσσεια,The Odyssey,eng
80,157993,1708,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,Le Petit Prince,The Little Prince,eng
81,7445,92,Jeannette Walls,2005.0,The Glass Castle,The Glass Castle,eng
82,1845,108,Jon Krakauer,1996.0,Into the Wild,Into the Wild,eng
83,1953,525,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,A Tale of Two Cities,eng
84,7677,176,Michael Crichton,1990.0,Jurassic Park,"Jurassic Park (Jurassic Park, #1)",spa
85,370493,81,Shel Silverstein,1964.0,The Giving Tree,The Giving Tree,eng
86,32542,158,John Grisham,1989.0,A Time to Kill,A Time to Kill,eng
87,1617,109,"Elie Wiesel, Marion Wiesel",1958.0,Un di Velt Hot Geshvign,Night (The Night Trilogy #1),eng
88,6442769,178,John Green,2008.0,Paper Towns,Paper Towns,en-US
89,21787,129,William Goldman,1973.0,The Princess Bride,The Princess Bride,en-US
90,231804,156,S.E. Hinton,1967.0,The Outsiders,The Outsiders,en-US
91,6186357,147,James Dashner,2009.0,The Maze Runner,"The Maze Runner (Maze Runner, #1)",eng
92,1202,124,"Steven D. Levitt, Stephen J. Dubner",2005.0,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",en-US
93,2998,1350,Frances Hodgson Burnett,1911.0,The Secret Garden,The Secret Garden,eng
94,320,555,"Gabriel García Márquez, Gregory Rabassa",1967.0,Cien años de soledad,One Hundred Years of Solitude,eng
95,5297,2303,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,The Picture of Dorian Gray,eng
96,13536860,133,E.L. James,2012.0,Fifty Shades Freed,"Fifty Shades Freed (Fifty Shades, #3)",eng
97,17245,2207,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,Dracula,eng
98,5060378,209,"Stieg Larsson, Reg Keeland",2006.0,Flickan som lekte med elden,"The Girl Who Played with Fire (Millennium, #2)",eng
99,11857408,147,E.L. James,2011.0,Fifty Shades Darker,"Fifty Shades Darker (Fifty Shades, #2)",eng
100,7244,39,Barbara Kingsolver,1998.0,The Poisonwood Bible,The Poisonwood Bible,eng
101,4137,59,David Sedaris,2000.0,Me Talk Pretty One Day,Me Talk Pretty One Day,eng
102,19543,110,Maurice Sendak,1963.0,Where the Wild Things Are,Where the Wild Things Are,eng
103,7126,1310,"Alexandre Dumas, Robin Buss",1844.0,Le Comte de Monte-Cristo,The Count of Monte Cristo,eng
104,6288,181,Cormac McCarthy,2006.0,The Road,The Road,eng
105,18710190,153,Veronica Roth,2013.0,Allegiant,"Allegiant (Divergent, #3)",eng
106,9418327,48,Tina Fey,2011.0,Bossypants,Bossypants,eng
107,3473,131,Nicholas Sparks,1999.0,A Walk to Remember,A Walk to Remember,en-US
108,9416,144,Sophie Kinsella,2000.0,Confessions of a Shopaholic,"Confessions of a Shopaholic (Shopaholic, #1)",eng
109,24280,1319,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0,Les Misérables,Les Misérables,eng
110,10572,202,George R.R. Martin,1998.0,A Clash of Kings,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng
111,10441,98,Kim Edwards,2005.0,The Memory Keeper's Daughter,The Memory Keeper's Daughter,eng
112,15507958,168,Jojo Moyes,2012.0,Me Before You,"Me Before You (Me Before You, #1)",eng
113,168668,251,Joseph Heller,1961.0,Catch-22,Catch-22,en-US
114,6900,172,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,Tuesdays with Morrie,eng
115,2187,125,Jeffrey Eugenides,2002.0,Middlesex,Middlesex,en-US
116,24583,2448,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,eng
117,18131,165,Madeleine L'Engle,1962.0,A Wrinkle in Time,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US
118,7763,126,Amy Tan,1989.0,The Joy Luck Club,The Joy Luck Club,eng
119,38447,236,Margaret Atwood,1985.0,The Handmaid's Tale,The Handmaid's Tale,eng
120,452306,93,Ann Brashares,2001.0,The Sisterhood of the Traveling Pants,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng
121,7604,370,"Vladimir Nabokov, Craig Raine",1955.0,Lolita,Lolita,eng
122,37442,80,"Gregory Maguire, Douglas Smith",1995.0,Wicked: The Life and Times of the Wicked Witch of the West,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng
123,5358,11,John Grisham,1991.0,The Firm,"The Firm (Penguin Readers, Level 5)",eng
124,7937843,151,Emma Donoghue,2010.0,Room,Room,eng
125,1420,1929,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,"The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet,eng
126,234225,241,Frank Herbert,1965.0,Dune,Dune (Dune Chronicles #1),eng
127,2612,100,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,eng
128,11084145,190,Walter Isaacson,2011.0,Steve Jobs,Steve Jobs,eng
129,332613,275,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,eng
130,2165,666,Ernest Hemingway,1952.0,The Old Man and the Sea,The Old Man and the Sea,eng
131,4395,381,John Steinbeck,1939.0,The Grapes of Wrath,The Grapes of Wrath,eng
133,8127,1314,L.M. Montgomery,1908.0,Anne of Green Gables,"Anne of Green Gables (Anne of Green Gables, #1)",eng
134,3777732,122,Cassandra Clare,2009.0,City of Glass,"City of Glass (The Mortal Instruments, #3)",en-US
135,62291,175,George R.R. Martin,2000.0,A Storm of Swords,"A Storm of Swords (A Song of Ice and Fire, #3)",eng
136,137791,75,Rebecca Wells,1996.0,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,en-US
137,10964,189,Diana Gabaldon,1991.0,Outlander,"Outlander (Outlander, #1)",eng
138,12296,1579,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,The Scarlet Letter,eng
139,9460487,155,Ransom Riggs,2011.0,Miss Peregrine’s Home for Peculiar Children,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",en-US
140,6892870,193,"Stieg Larsson, Reg Keeland",2007.0,Luftslottet som sprängdes,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",en-US
141,18007564,148,Andy Weir,2012.0,The Martian,The Martian,eng
142,5043,255,Ken Follett,1989.0,The Pillars of the Earth,"The Pillars of the Earth (The Kingsbridge Series, #1)",eng
143,18143977,139,Anthony Doerr,2014.0,,All the Light We Cannot See,eng
144,8664353,16,Laura Hillenbrand,2010.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng
145,976,180,Dan Brown,2001.0,Deception Point,Deception Point,eng
146,17333223,108,Donna Tartt,2013.0,The Goldfinch,The Goldfinch,eng
147,1217100,150,Jay Asher,2007.0,Thirteen Reasons Why,Thirteen Reasons Why,eng
148,2865,169,Tracy Chevalier,1999.0,Girl with a Pearl Earring,Girl with a Pearl Earring,eng
149,4374400,130,Gayle Forman,2009.0,If I Stay,"If I Stay (If I Stay, #1)",en-US
150,4989,80,Anita Diamant,1997.0,The Red Tent,The Red Tent,en-US
151,28186,121,Rick Riordan,2006.0,The Sea of Monsters,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng
152,5526,111,Nicholas Sparks,2006.0,Dear John,Dear John,en-US
153,1582996,125,Cassandra Clare,2008.0,City of Ashes,"City of Ashes (The Mortal Instruments, #2)",eng
154,8852,1732,William Shakespeare,1606.0,The Tragedy of Macbeth,Macbeth,eng
155,15241,453,J.R.R. Tolkien,1954.0,The Two Towers,"The Two Towers (The Lord of the Rings, #2)",en-US
156,42156,65,Emily Giffin,2004.0,Something Borrowed,"Something Borrowed (Darcy & Rachel, #1)",eng
157,23772,72,"Dr. Seuss, לאה נאור",1960.0,Green Eggs and Ham,Green Eggs and Ham,en-US
158,6310,338,"Roald Dahl, Quentin Blake",1964.0,Charlie and the Chocolate Factory,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng
159,2120932,92,Rick Riordan,2008.0,The Battle of the Labyrinth,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng
160,2623,1725,Charles Dickens,1860.0,Great Expectations,Great Expectations,eng
161,18512,470,J.R.R. Tolkien,1955.0,The Return of the King,"The Return of the King (The Lord of the Rings, #3)",en-US
162,49552,675,"Albert Camus, Matthew    Ward",1942.0,L’Étranger,The Stranger,eng
163,7736182,72,Rick Riordan,2010.0,The Lost Hero,"The Lost Hero (The Heroes of Olympus, #1)",eng
164,15745753,103,Rainbow Rowell,2013.0,Eleanor & Park,Eleanor & Park,eng
165,13497,176,George R.R. Martin,2005.0,A Feast for Crows,"A Feast for Crows (A Song of Ice and Fire, #4)",en-US
166,7735333,84,Ally Condie,2010.0,Matched,"Matched (Matched, #1)",eng
167,4407,196,Neil Gaiman,2001.0,American Gods,"American Gods (American Gods, #1)",eng
168,149267,195,"Stephen King, Bernie Wrightson",1978.0,The Stand,The Stand,en-US
169,6400090,95,Nicholas Sparks,2008.0,The Last Song,The Last Song,en-GB
170,11125,185,Dan Brown,1998.0,Digital Fortress,Digital Fortress,en-GB
171,6969,1710,"Jane Austen, Fiona Stafford",1815.0,Emma,Emma,eng
172,15823480,1492,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877.0,Анна Каренина,Anna Karenina,eng
173,227463,283,Anthony Burgess,1962.0,A Clockwork Orange,A Clockwork Orange,eng
174,1812457,134,William Paul Young,2007.0,The Shack: Where Tragedy Confronts Eternity,The Shack,eng
175,4502507,87,Rick Riordan,2009.0,The Last Olympian,"The Last Olympian (Percy Jackson and the Olympians, #5)",eng
176,18342,7,Stephen King,1986.0,It,It,en-US
177,7144,1714,"Fyodor Dostoyevsky, David McDuff",1866.0,Преступление и наказание,Crime and Punishment,eng
178,6514,246,Sylvia Plath,1963.0,The Bell Jar,The Bell Jar,en-US
179,252577,184,Frank McCourt,1996.0,Angela's Ashes: A Memoir,"Angela's Ashes (Frank McCourt, #1)",eng
180,52036,972,"Hermann Hesse, Hilda Rosner",1922.0,Siddhartha,Siddhartha,eng
181,168642,223,Truman Capote,1965.0,In Cold Blood,In Cold Blood,eng
182,6304335,119,"Kami Garcia, Margaret Stohl",2009.0,Beautiful Creatures,"Beautiful Creatures (Caster Chronicles, #1)",eng
183,7171637,103,Cassandra Clare,2010.0,Clockwork Angel,"Clockwork Angel (The Infernal Devices, #1)",eng
184,39988,242,"Roald Dahl, Quentin Blake",1988.0,Matilda,Matilda,eng
185,9361589,119,Erin Morgenstern,2011.0,The Night Circus,The Night Circus,eng
186,37470,111,Philippa Gregory,2001.0,The Other Boleyn Girl,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",eng
187,24770,98,Scott Westerfeld,2005.0,Uglies,"Uglies (Uglies, #1)",eng
188,10664113,115,George R.R. Martin,2011.0,A Dance with Dragons,"A Dance with Dragons (A Song of Ice and Fire, #5)",eng
189,33,380,J.R.R. Tolkien,1955.0,The Lord of the Rings,"The Lord of the Rings (The Lord of the Rings, #1-3)",eng
190,12262741,101,Cheryl Strayed,2012.0,Wild: From Lost to Found on the Pacific Crest Trail,Wild: From Lost to Found on the Pacific Crest Trail,eng
191,472331,90,"Alan Moore, Dave Gibbons, John Higgins",1987.0,Watchmen,Watchmen,en-US
192,186074,123,Patrick Rothfuss,2007.0,The Name of the Wind,"The Name of the Wind (The Kingkiller Chronicle, #1)",eng
193,3228917,120,Malcolm Gladwell,2008.0,Outliers: The Story of Success,Outliers: The Story of Success,en-US
194,153747,1823,"Herman Melville, Andrew Delbanco, Tom Quirk",1851.0,"Moby Dick; or, The Whale","Moby-Dick or, The Whale",eng
195,2728527,116,"Mary Ann Shaffer, Annie Barrows",2008.0,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and Potato Peel Pie Society,eng
196,5759,162,Chuck Palahniuk,1996.0,Fight Club,Fight Club,eng
197,301082,109,Charlaine Harris,2001.0,Dead Until Dark,"Dead Until Dark (Sookie Stackhouse, #1)",en-US
198,11486,155,Alice Walker,1982.0,The Color Purple,The Color Purple,eng
199,12691,119,John Grogan,2005.0,Marley & Me: Life and Love with the World's Worst Dog,Marley and Me: Life and Love With the World's Worst Dog,eng
200,16299,474,Agatha Christie,1939.0,Ten Little Niggers,And Then There Were None,eng
201,6411961,208,Dan Brown,2009.0,The Lost Symbol,"The Lost Symbol (Robert Langdon, #3)",eng
202,6339664,91,Becca Fitzpatrick,2009.0,"Hush, Hush","Hush, Hush (Hush, Hush, #1)",en-US
203,11505797,85,Jamie McGuire,2011.0,Beautiful Disaster,"Beautiful Disaster (Beautiful, #1)",eng
205,43763,189,Anne Rice,1976.0,Interview with the Vampire,"Interview with the Vampire (The Vampire Chronicles, #1)",eng
206,10507293,93,Kiera Cass,2012.0,The Selection,"The Selection (The Selection, #1)",en-US
207,6853,109,Janet Evanovich,1994.0,One for the Money,"One for the Money (Stephanie Plum, #1)",en-US
208,6493208,66,Rebecca Skloot,2010.0,The Immortal Life of Henrietta Lacks,The Immortal Life of Henrietta Lacks,eng
209,23807,187,Thomas Harris,1988.0,The Silence of the Lambs,"The Silence of the Lambs  (Hannibal Lecter, #2)",eng
210,345627,132,Richelle Mead,2007.0,,"Vampire Academy (Vampire Academy, #1)",en-US
211,40102,116,Malcolm Gladwell,2005.0,Blink: The Power of Thinking Without Thinking,Blink: The Power of Thinking Without Thinking,en-US
212,6867,155,Ian McEwan,2001.0,Atonement,Atonement,eng
213,485894,1316,"Franz Kafka, Stanley Corngold",1915.0,Die Verwandlung,The Metamorphosis,eng
214,561456,94,Rick Riordan,2007.0,The Titan's Curse,"The Titan's Curse (Percy Jackson and the Olympians, #3)",eng
215,9969571,112,Ernest Cline,2011.0,,Ready Player One,eng
216,3153910,90,Garth Stein,2006.0,The Art of Racing in the Rain,The Art of Racing in the Rain,eng
217,21996,70,"Erik Larson, Tony Goldwyn",2003.0,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",eng
218,13572249,96,Sylvia Day,2012.0,Bared to You,"Bared to You (Crossfire, #1)",eng
219,11127,270,"C.S. Lewis, Pauline Baynes",1956.0,The Chronicles of Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",eng
221,60748,74,Dave Pelzer,1995.0,"\"A Child Called \"\"It\"\": One Child's Courage to Survive\"","\"A Child Called \"\"It\"\" (Dave Pelzer #1)\"",eng
222,7869,143,Robert Ludlum,1980.0,The Bourne Identity,"The Bourne Identity (Jason Bourne, #1)",eng
223,249747,163,Eoin Colfer,2001.0,Artemis Fowl,"Artemis Fowl (Artemis Fowl, #1)",eng
224,6487308,97,Lauren Kate,2009.0,Fallen,"Fallen (Fallen, #1)",en-US
225,4406,81,John Steinbeck,1952.0,East of Eden,East of Eden,eng
226,5886881,131,Gillian Flynn,2009.0,Dark Places,Dark Places,eng
227,5359,134,John Grisham,1993.0,The Client,The Client,eng
228,228333,84,"Emma McLaughlin, Nicola Kraus",2002.0,The Nanny Diaries,"The Nanny Diaries (Nanny, #1)",eng
229,24213,845,"Lewis Carroll, John Tenniel, Martin Gardner",1865.0,Alice's Adventures in Wonderland,Alice's Adventures in Wonderland & Through the Looking-Glass,eng
230,2156,1451,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817.0,Persuasion,Persuasion,eng
231,556602,117,Tatiana de Rosnay,2007.0,Elle s'appelait Sarah,Sarah's Key,eng
232,43615,213,Stephen King,1982.0,The Gunslinger,"The Gunslinger (The Dark Tower, #1)",en-US
233,9712,347,"Gabriel García Márquez, Edith Grossman",1985.0,El amor en los tiempos del cólera,Love in the Time of Cholera,eng
234,439288,87,Laurie Halse Anderson,1999.0,Speak,Speak,eng
235,17802724,95,Liane Moriarty,2013.0,The Husband's Secret,The Husband's Secret,eng
236,1898,101,Jon Krakauer,1997.0,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Into Thin Air: A Personal Account of the Mount Everest Disaster,en-US
238,242006,79,Augusten Burroughs,2002.0,Running with Scissors,Running with Scissors,en-US
239,8908,137,Max Brooks,2006.0,World War Z: An Oral History of the Zombie War,World War Z: An Oral History of the Zombie War,en-US
240,17212231,235,Dan Brown,2013.0,Inferno,"Inferno (Robert Langdon, #4)",eng
241,47281,81,Lois Lowry,1989.0,Number the Stars,Number the Stars,eng
242,13145,122,James Patterson,1993.0,Along Came a Spider,"Along Came a Spider (Alex Cross, #1)",eng
243,10614,197,Stephen King,1987.0,Misery,Misery,en-GB
244,66559,136,Gillian Flynn,2006.0,Sharp Objects,Sharp Objects,en-US
245,2839,125,Katherine Paterson,1977.0,Bridge to Terabithia,Bridge to Terabithia,eng
246,30183,97,"P.C. Cast, Kristin Cast",2007.0,Marked,"Marked (House of Night, #1)",en-US
247,36072,250,Stephen R. Covey,1989.0,The 7 Habits of Highly Effective People,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,en-US
248,1622,1379,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595.0,A Midsummer Night's Dream,A Midsummer Night's Dream,eng
249,4588,104,Jonathan Safran Foer,2005.0,Extremely Loud and Incredibly Close,Extremely Loud and Incredibly Close,en-US
250,11387515,124,R.J. Palacio,2012.0,Wonder,Wonder,eng
251,233093,99,Dr. Seuss,1957.0,The Cat in the Hat,The Cat in the Hat,eng
252,11235712,92,Marissa Meyer,2012.0,Cinder,"Cinder (The Lunar Chronicles, #1)",eng
253,16160797,48,"Robert Galbraith, J.K. Rowling",2013.0,The Cuckoo's Calling,"The Cuckoo's Calling (Cormoran Strike, #1)",en-US
254,6068551,96,Maggie Stiefvater,2009.0,Shiver,"Shiver (The Wolves of Mercy Falls, #1)",eng
255,662,147,"Ayn Rand, Leonard Peikoff",1957.0,Atlas Shrugged,Atlas Shrugged,eng
256,49436,67,"Greg Mortenson, David Oliver Relin",2006.0,Three Cups of Tea,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,en-US
257,13023,4,"Jane Carruth, Lewis Carroll, Rene Cloke",1865.0,,Alice in Wonderland,eng
258,1232,279,"Carlos Ruiz Zafón, Lucia Graves",2001.0,La sombra del viento,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",eng
259,7631105,107,James Dashner,2010.0,The Scorch Trials,"The Scorch Trials (Maze Runner, #2)",eng
260,4865,353,Dale Carnegie,1936.0,How to Win Friends and Influence People,How to Win Friends and Influence People,eng
261,480479,59,Frances Mayes,1996.0,Under the Tuscan Sun,Under the Tuscan Sun,eng
262,19486412,107,Liane Moriarty,2014.0,Big Little Lies,Big Little Lies,eng
263,24337,61,Gail Carson Levine,1997.0,Ella Enchanted,Ella Enchanted,eng
